region_rus,y2005,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,region_eng
Республика Башкортостан,807.00,894.50,860.60,847.60,841.30,862.60,849.80,844.90,836.80,843.90,Bashkortostan
Республика Марий Эл,743.30,864.00,863.50,894.70,869.80,882.40,915.00,935.70,929.40,936.90,Mariy-El
Республика Мордовия,681.80,725.70,710.30,691.30,713.50,684.50,683.70,658.90,682.60,680.70,Mordovia
Республика Татарстан,804.50,846.20,849.80,845.20,831.60,841.10,804.20,792.30,794.00,775.10,Tatarstan
Удмуртская Республика,893.70,958.00,947.70,919.00,942.20,945.40,968.20,991.00,995.00,954.60,Udmurt
Чувашская Республика,858.60,936.90,996.90,1006.40,1039.20,1019.00,983.40,934.20,917.10,929.30,Chuvash
Пермский край,894.40,931.30,937.30,928.40,929.70,981.60,979.70,950.20,930.40,931.30,Perm'
Кировская область,739.90,804.50,788.50,767.20,788.60,755.00,756.70,746.40,746.10,752.20,Kirov
Нижегородская область ,739.50,855.20,881.90,866.90,894.60,919.30,912.10,913.00,872.20,905.70,Nizhegorod
Оренбургская область,891.40,857.00,851.90,820.50,811.00,789.50,779.00,792.90,766.00,841.50,Orenburg
Пензенская область,848.80,760.50,760.90,748.40,736.10,717.30,747.00,732.80,733.00,755.50,Penza
Самарская область,855.30,944.50,1019.10,997.20,1043.60,1016.00,1033.70,975.70,912.10,897.10,Samara
Саратовская область,688.40,749.60,756.40,738.30,763.50,736.60,751.20,749.40,727.90,733.50,Saratov
Ульяновская область,858.50,895.00,946.10,969.00,914.80,853.00,891.70,872.40,876.40,874.10,Ul'yanovsk
